condition_id,condition_label,request_count,median_output_tokens_per_second,mean_output_tokens_per_second,first_segment_output_tokens_per_second,last_segment_output_tokens_per_second,first_to_last_change_pct,mean_gpu_temperature_c,max_gpu_temperature_c,mean_gpu_sm_clock_mhz,mean_gpu_power_w,limiter_request_count,measurement_gpu_sample_count,max_gpu_temperature_sample_c,sw_power_limited_sample_count,sw_thermal_limited_sample_count,hw_slowdown_sample_count,hw_thermal_limited_sample_count,hw_power_brake_sample_count,measurement_wall_seconds,active_request_seconds,scheduled_idle_seconds,wall_output_tokens_per_second,engine_active_output_tokens_per_second
continuous,Continuous inference,10,62.51776848415513,62.325684475622566,62.97626136768329,61.3921808461915,-2.5153613235997407,86.16805555555555,91.625,1468.25,63.910361111111115,10,85,92.0,3,82,0,0,0,43.7841881,43.724702799999996,0.0,58.468595881077896,62.30318066255295
cooldown-60s,60-second cooldown,10,63.12043256208254,62.98115150199499,62.08780823024704,64.02112632034985,3.113844964430501,79.06527777777778,81.88888888888889,1389.7708333333333,59.42758333333334,10,88,83.0,12,66,0,0,0,585.5235809,45.2838616,540.0,4.372155253021681,62.96411129280521
