execution_id,run_id,request_id,trial_number,iteration,sequence_number,scenario_id,target_prompt_tokens,actual_prompt_tokens,prompt_token_error,prompt_eval_duration_ms,prompt_tokens_per_second,client_ttft_ms,client_e2e_ms,output_tokens,done_reason,engine_load_duration_ms,gpu_sample_count,gpu_memory_used_max_mib,gpu_utilization_mean_pct,gpu_utilization_max_pct,gpu_temperature_mean_c,gpu_temperature_max_c,gpu_sm_clock_mean_mhz,gpu_power_mean_w
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,a761e48b-4dd8-44b7-9013-614fab3dc65c,1,2,22,prompt-00256,256,256,0,51.161,5003.8114970387605,58.713582,69.281439,2,stop,2.467142,1,6628.0,100.0,100.0,57.0,57.0,1620.0,298.58
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,11d9242f-672e-48db-9986-8bd7a2be8298,1,2,23,prompt-02048,2048,2048,0,369.338,5545.056289902474,394.64334,405.779318,2,stop,2.425672,4,6628.0,100.0,100.0,54.0,57.0,1631.25,267.6125
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,d82d604f-bb9c-485a-a1db-66f84628d655,1,3,24,prompt-00128,128,128,0,28.381,4510.059546879955,35.237525,45.437442,2,stop,2.423862,0,,,,,,,
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,cb5f2a1e-cba3-48da-a6df-2f5e41541597,1,3,25,prompt-04096,4096,4096,0,757.333,5408.453084706463,794.333253,805.724831,2,stop,2.978982,8,6628.0,0.0,0.0,55.125,57.0,1796.25,235.245
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,b7c1be76-8872-43f2-ae66-11fae210fae8,1,3,26,prompt-00512,512,512,0,96.126,5326.342508790545,108.252007,119.562515,2,stop,2.513042,2,6628.0,25.5,51.0,56.0,57.0,1785.0,239.85500000000002
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,8fff26b5-4b8d-42ff-bdc5-6d0bcec0e48b,1,3,27,prompt-16384,16384,16384,0,3619.922,4526.06437376275,3788.335207,3803.297468,2,stop,4.108803,38,6628.0,89.6842105263158,100.0,57.89473684210526,59.0,1650.3947368421052,275.11763157894734
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,5b3ea579-3cde-4f2a-9a94-7b73e230517f,1,3,28,prompt-01024,1024,1024,0,186.452,5492.0301203526915,210.50819,221.411717,2,stop,2.871662,2,6628.0,100.0,100.0,60.0,60.0,1590.0,299.16
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,866813ba-fda0-47cb-bcfe-b0c3a6a864a6,1,3,29,prompt-08192,8192,8192,0,1611.8,5082.5164412458125,1709.125112,1721.305411,2,stop,2.996262,17,6628.0,100.0,100.0,59.05882352941177,60.0,1679.1176470588234,262.15882352941173
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,a8b20a68-2c8a-4718-bfed-38105d4da431,1,3,30,prompt-00256,256,256,0,51.931,4929.618147156804,61.628444,72.234032,2,stop,2.766602,1,6628.0,100.0,100.0,60.0,60.0,1605.0,299.59
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,1afb8eac-e558-48d2-bd7b-bd25cf6ae24e,1,3,31,prompt-02048,2048,2048,0,369.987,5535.329619689341,399.981643,411.262991,2,stop,2.386552,4,6628.0,100.0,100.0,57.0,57.0,1905.0,262.5
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,00946f26-f72b-4ce8-b644-695334ed2a73,1,4,32,prompt-00128,128,128,0,27.683,4623.776324820287,34.882904,45.022852,2,stop,2.078702,0,,,,,,,
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,58ac14a0-fc29-49e5-9b0f-e95722dc5aac,1,4,33,prompt-04096,4096,4096,0,758.121,5402.831474131438,816.607689,828.565427,2,stop,4.004103,9,6628.0,31.0,31.0,58.666666666666664,60.0,1755.0,233.85777777777776
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,53db2caf-bde8-434d-9c5c-3e00c81d30be,1,4,34,prompt-00512,512,512,0,97.208,5267.056209365484,107.968487,118.556234,2,stop,2.485901,1,6628.0,100.0,100.0,61.0,61.0,1875.0,252.19
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,61fb180f-5ba5-4c1d-9b5f-a66b1e0752c3,1,4,35,prompt-16384,16384,16384,0,3628.817,4514.9700301778785,3810.452692,3824.601172,2,stop,4.142663,38,6628.0,100.0,100.0,61.05263157894737,63.0,1631.0526315789473,274.8142105263158
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,e258863f-1f2b-4e93-8ac5-61c123fc650a,1,4,36,prompt-01024,1024,1024,0,187.037,5474.852569277737,209.199748,219.872706,2,stop,2.630362,2,6628.0,100.0,100.0,63.0,63.0,1605.0,299.31
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,2f5a467e-9691-4333-9682-4122890e2126,1,4,37,prompt-08192,8192,8192,0,1619.346,5058.8323928301925,1704.204088,1716.833087,2,stop,4.022203,17,6628.0,100.0,100.0,62.411764705882355,63.0,1672.9411764705883,264.99764705882353
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,24f03347-65fd-4623-b56a-3361c9e1565a,1,4,38,prompt-00256,256,256,0,51.796,4942.466599737431,62.009864,72.683492,2,stop,3.102942,1,6628.0,100.0,100.0,63.0,63.0,1620.0,299.13
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,8c3faca9-b453-4c96-8943-2a7e9354cf72,1,4,39,prompt-02048,2048,2048,0,370.222,5531.8160455078305,405.913348,417.305416,2,stop,2.681672,4,6628.0,100.0,100.0,62.0,62.0,1890.0,277.82
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,d13d9a91-20f2-4fd7-80aa-ef2587e02eba,1,5,40,prompt-00128,128,128,0,28.079,4558.566900530645,36.078435,46.573773,2,stop,2.450742,1,6628.0,100.0,100.0,63.0,63.0,1890.0,256.36
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,2e1b48cf-bcf5-4b9c-9043-b4b0765f2b9a,1,5,41,prompt-04096,4096,4096,0,759.914,5390.083614724825,797.621086,809.665804,2,stop,2.839671,8,6628.0,100.0,100.0,63.0,63.0,1721.25,237.01000000000002
